679058,122881
.eropo.,.irpo.,0.5
.egic.,.igic.,1.0
^exce.,^exce.,0.34782608695652173
.the.,.ghte.,0.0035587188612099642
.ies$,.ized$,0.004672897196261682
^orde.,^orde.,0.5
.ecure.,.ucure.,0.2
.wake$,.wak$,0.6666666666666666
^rayi.,^reig.,0.5
^keeps$,^keep$,0.3333333333333333
.lf.,.llf.,0.020618556701030927
^pocke.,^pocke.,0.6666666666666666
^stil$,^still$,1.0
^obt.,^obt.,0.5
.uch$,.huch$,0.05
^dae.,^dea.,1.0
.ac.,.acy.,0.0019305019305019305
.rd$,.r$,0.0457516339869281
.dhe.,.dhe.,1.0
.ay$,.aid$,0.023529411764705882
.stit.,.sti.,0.05555555555555555
.enber$,.ember$,1.0
.rk$,.k$,0.024390243902439025
.wok.,.wok.,1.0
.prete$,.pret$,1.0
.ondl.,.ond .,1.0
.ircu.,.ircu.,0.5714285714285714
.inure.,.inue.,1.0
.iceri.,.iceri.,1.0
^sq.,^sk.,0.0625
^cis.,^cis.,0.3333333333333333
.abel$,.abel$,0.5
.tre.,.tere.,0.0963855421686747
^on.,^on .,0.015873015873015872
^wod$,^wood$,1.0
.ighes.,.ighes.,0.5
.eaty$,.eauty$,1.0
.ei.,.y.,0.002967359050445104
^elec.,^ellec.,0.13043478260869565
.eriou.,.uriou.,0.045454545454545456
^tyin.,^tiein.,1.0
^musie.,^muse.,1.0
.be$,.bed$,0.02040816326530612
.kwar.,.kwor.,0.1111111111111111
.pport$,.pport$,0.3333333333333333
^expl.,^expl.,0.9705882352941176
^early$,^early$,0.25
.apita.,.apita.,0.5
.ival$,.ivial$,0.16666666666666666
.age$,.aging$,0.00847457627118644
.uem.,.um.,1.0
.rabl.,.roubl.,0.025
.lefr.,.lfr.,0.5
.resho.,.resho.,1.0
.schma.,.chma.,0.8
.nviti.,.nvite.,1.0
.ueer$,.uire$,0.25
.nee$,.nce$,0.25
.havio.,.havio.,0.9333333333333333
.lica.,.lica.,0.6875
.tomed$,.tumed$,0.3333333333333333
.erial$,.eral$,0.3333333333333333
.oods.,.oods.,0.42857142857142855
^pit.,^pic.,0.17391304347826086
.vious.,.vios.,0.25
.ynte.,.ynthe.,1.0
.have.,.havio.,0.25
^coach$,^couch$,0.5
.acad.,.ocad.,1.0
.netyn.,.ntyn.,1.0
^fer.,^fir.,0.08333333333333333
^bevo.,^befo.,1.0
.mical$,.mical$,0.5
.nci.,.nce.,0.05333333333333334
^diso.,^disa.,0.25
.eme.,.ee.,0.006134969325153374
.igh.,.i.,0.1646090534979424
.rybo.,.rybo.,0.8888888888888888
.eic.,.iec.,0.5
.ltit.,.lltit.,0.25
^fores.,^fros.,0.3333333333333333
.ver.,.vid.,0.0026041666666666665
^cra.,^cru.,0.045454545454545456
.wing$,.eing$,0.04
.usted$,.asted$,0.125
^lidd.,^lead.,1.0
^peot.,^pot.,0.5
,.ize$,8.302889405513119e-05
.ciev.,.ceiv.,0.9285714285714286
.an.,.in.,0.01389854065323141
^crash$,^crach$,0.5
^disck.,^disc.,1.0
^let$,^late$,0.08333333333333333
